website,country,email,description,name
www.aeroconditioner.com,United States,None,"
			Aero Conditioner Company makes extremely high performance, harsh duty, industrial air conditioning units and self cleaning air filters/blowers.		",AERO Conditioner Co.
www.amepower.com,United States,None,None,AmePower
www.ailmining.com,Canada,dmichaluk@ail.ca,"
			Manufacturers and designers of corrugated structural plate, used for portals, conveyor covers, haul road overpasses/underpasses, and ground support structures. Manufacturers and designers of MSE crusher walls, modular bridges and sound walls.		",AIL Mining
www.minedoor.com,United States,info@minedoor.com,"
			American Mine Door is an OEM manufacturer with a long history of fabricating ventilation mine door products and specialty equipment to the underground mining industry across the globe; established in 1906 and based in Cleveland, OH.		",American Mine Door
www.acutronic.com,United States,marketing@acutronic.com,"
			A worldwide recognized leader in the design and manufacture of motion simulation systems for the aviation, space, defense, maritime and automotive industries.		",ACUTRONIC USA Inc.
www.allsitestructures.com,United States,None,"
			Allsite Structure Rentals is a leading provider of ""All Weather"" Tensioned Fabric Structures (TFS). We provide both rental and sale options for temporary, semi permanent and permanent fabric structures needs.		",Allsite Structure Rentals
www.thealadonnetwork.com,United States,info@aladon.com,"
			The Aladon Network is a global community of reliability professionals and thought leaders of maintenance and asset management certified by Aladon in the delivery of Aladon’s advanced risk and reliability methodologies for physical assets.		","Aladon Network, The"
www.accessconstructionequipment.com,United States,photop@miniveyorusa.com,"
			Access Construction Equipment manufactures portable conveyors to withstand the rugged conditions of any job site. Miniconveyor systems are the ideal choice for moving iron ore, coal, loose materials, debris, rock, dirt, cement and more.		",Access Construction Equipment
www.analyticsystems.com,Canada,sales@analyticsystems.com,"
			Analytic Systems is an innovative Canadian manufacturer of power conversion products. We design and build a complete range of products including battery chargers, voltage converters, inverters, power supplies and frequency converters.		",Analytic Systems
www.anicamenterprises.com,United States,None,None,Anicam Enterprises Inc.
www.barr.com,United States,askbarr@barr.com,"
			For more than four decades, Barr has provided engineering and environmental services to clients in the mining and minerals-processing industries, from mine planning and permitting through process and materials handling design to mineland reclamation.		",Barr Engineering Co.
alternativeblastingco.com,United States,Tom@alternativeblastingco.com,"
			Autostem is the World's only self-stemming, non-detonating power cartridge.Uses in underground mining,quarries & civil blasting. Autostem does not detonate,no shock wave,no air blast or poisonous gases, Autostem is the Future of Blasting.		",Autostem Alternative Blasting Company
www.atilla.com.tr,Turkey,atilla@atilla.com.tr,"
			Atilla Makina is a construction company dealing with industrial plants in the fields of mining. Besides all disciplines of site works, Atilla Makina manufactures steel structures & special mining equipment (tanks, vessels, thickeners, conveyors, etc)		",Atilla Makina
www.asahi-america.com,United States,None,None,Asahi America Inc.
www.arcotex.cl,Chile,p.giuffra@arcotex.cl,"
			Arcotex manufactures flexible and rigid ducting for forced and exhaust ventilation with its corresponding accessories such as tee, yee, reductions and Roll Up door, PVC curtains, static pressure balloons, flexible container, ducting for bioleaching.		",Arcotex S.A.
www.apcglobal.com,Australia,sales@apcglobal.com,"
			APC Global Systems is a provider of turn-key solutions for optimizing overall asset and personnel effectiveness. We apply lean production principles to improve efficiency in operational mining, specifically around ore, people and material flow.		",APC Global
www.aoip.com,France,export@aoip.com,"
			Designer and manufacturer of liquid resistance starters (LRS) for low and medium voltage asynchronous motors for a variety of applications and for duties from 500 kW to 20000 kW.		",AOIP SAS
www.anvilintl.com,United States,sales@anvilintl.com,"
			Anvil, a worldwide market leader with a complete line of grooved couplings, fittings and valves that deliver cost savings at installation and legendary long-lasting performance. Visit us at www.anvilintl.com.		",Anvil International LLC
www.antraquip.net,United States,info@antraquip.net,"
			Antraquip Corporation is a leading global supplier of roadheaders and hydraulic rock cutters (excavator mounted) used for a variety of applications within the mining, tunneling and general construction industries. Contact us at www.antraquip.net		",Antraquip Corp.
www.ansul.com,United States,None,None,ANSUL
www.anheavy.com,Peoples Republic of China,emily_zhao705@live.cn,"
			Our company was listed in Shenzhen Securities Exchange in 2012. Its main products include vibrating screens, crushers, feeders, conveyors and various processing equipment, stone and sand crushing unit, mixing plant, precast concrete elements, etc.		","Anshan Heavy Duty Mining Machinery Co., Ltd."
www.apscreens.com,Peoples Republic of China,sunny@apscreens.com,"
			We specialize in producing self-cleaning screen media and woven wire screen media, adopt high tensile steel wire and S.S. wire, by increasing opening area to increase screen capacity and material throughput; help customers increase screening efficiency.		","Anping County Anpeng Wire Mesh Filter Equipment Co., Ltd."
www.asfan.cn,Peoples Republic of China,None,"
			Anshan Gangfeng Fan was incorporated in year 1979. The headquarters and manufacturing unit is located in China, Liaoning Province in Anshan City. And it is member unit of Fan Industry Association of China.		","Anshan Gangfeng Fan Co., Ltd."
www.anmopyc.com,Spain,anmopyc@anmopyc.com,"
			Spanish Manufacturers Association of Construction and Mining Equipment. Products: concrete, mortar, lifting, transport, aggregates, mining, recycling, road, earthmoving, underground, drilling, temporary works, auxiliary equipment, components and spare parts.		",ANMOPYC
www.mktm.com.cn,Peoples Republic of China,mktm@mktm.com.cn,"
			As subsidiary of CCTEG, Tianma is a leading solution and system provider of electro-hydraulic control technology for unmanned longwall mining, with more than 50 percent of the market share in China. We are certified by QMS, EMS, OHSAS and GOST-R.		","Beijing Tianma Electro-Hydraulic Conrol System Co., Ltd."
www.terranrubber.com,Peoples Republic of China,sales@terranrubber.com,"
			Supplier for rubber sheet, pulley lagging, ceramic lagging, rubber matting, impact bar, silicone sheet and orther rubber products.		","Beijing Terran Rubber Co., Ltd."
www.mingyuetech.com,Peoples Republic of China,jennifer.liu@mingyuetech.com,"
			We are a professional screen media manufacturer in China, found in 1986, located both in Hebei and Beijing. Our main products include polyurethane module screen, self cleaning screen with polyurethane strips, polyurethane tension screen and so on.		","Beijing Moon Technology Co., Ltd."
www.joint-union.cn,Peoples Republic of China,zhongheguoji@126.com,"
			Beijing Joint-Union Exhibition Co., Ltd. is a Beijing-based company that specializes in the organization of overseas exhibitions. Your choice with us will be the best choice of all!		","Beijing Joint-Union Exhibition Co., Ltd."
www.behlen.ca,Canada,rvillamizar@behlen.ca,"
			At BEHLEN, we’re Canada’s largest manufacturer of steel building systems. Today, we sell steel structures including industrial, commercial, recreational and institutional facilities.		",Behlen Industries LP
www.beckerminingamerica.com,United States,None,None,Becker Mining America
www.bcirubber.com,Canada,None,None,Beauce Caoutchouc Inc.
www.bdi-usa.com,United States,None,None,Bearing Distributors Inc.
www.bdiwearparts.com,Canada,don@bdiwearparts.com,"
			BDI Wear Parts is a dynamically growing company with many years of experience in production and supplying crusher wear parts and crusher spare parts. We supply wear parts to U.S.A., Canada, Europe, Australia and Africa.		",BDI Wear Parts
www.ugc.basf.com,Switzerland,martijn-k.mannot-russell@basf.com,"
			BASF Construction Chemicals is dedicated to providing solutions for underground excavation, mining and construction. From mine infrastructure to underground development, mining and mine backfill, injection to mineral processing and tailings management.		",BASF Construction Chemicals Europe AG
www.anixter.com,United States,None,None,Anixter
www.aramine.com,France,None,"
			Leader in mining and underground solutions. Equipment: Manufacturer for narrow vein mines and remanufacturer with genuine spare parts only. Spare parts and components: 725,000 manufacturers references available.		",Aramine
www.aramine.com,France,None,None,Aramine
www.aquablast.com,United States,None,"
			Aqua Blast is a manufacturer of high pressure cleaning systems. We build machines available from 900 to 30,000+ PSI at 1 to 650 GPM. Electric, gas, or diesel driven, hot and cold water pressure washers. We build to customer specifications.		",Aqua Blast Corporation
www.water.bilfinger.com,Italy,info.diemme.water@bilfinger.com,"
			Bilfinger manufactures a comprehensive range of Diemme® Filtration filter presses.Our vision is to continue to evolve as a leader in the development and supply of customized solutions to meet the increasingly complex demand of our clients.		",Aqseptence Group srl
www.applied.com,United States,ntolliver@applied.com,"
			Applied Industrial Technologies, a leading industrial distributor, offers more than 5 million quality products, including bearings, pneumatics, hydraulics, chemicals, industrial hose, power transmission, lubrication safety and tools.		",Applied Industrial Technologies
www.aft.com,United States,info@aft.com,"
			Developer of pipe flow modeling software, AFT has a comprehensive line of products for the analysis and design of piping and ducting systems in all industries.		",Applied Flow Technology
www.haultrucktiebacks.com,United States,None,None,Applied Fiber
www.appliedenergyco.com,United States,mark.scott@appliedenergyco.com,"
			Advanced fluid management specialists.		","Applied Energy Company, LLC."
www.arc.gov,United States,info@arc.gov,"
			The Appalachian Regional Commission (ARC) is a regional economic development agency that represents 13 Appalachian states. ARC's mission is to innovate, partner, and invest to build community capacity and strengthen economic growth in Appalachia.		",Appalachia USA
www.ascelik.com,Turkey,None,None,As Celik
www.arvaindustries.com,Canada,sales@arvaindustries.com,"
			ARVA - Mining products include Low-Profile: Cranes, Fan Handlers, Articulated Carriers, Scalers, Lubrication; Water; Conveyor & Rescue – Service Vehicles. ARVA also offers Customized Attachments & Solutions for Unique Challenges		",Arva Industries Inc.
www.artisanvs.com,United States,None,None,"Artisan Vehicle Systems, Inc"
www.arrowmagnolia.com,United States,None,None,"Arrow-Magnolia International, Inc."
www.arnoldmachinery.com,United States,None,None,Arnold Machinery Co.
www.kynar.com,United States,gary.dennis@arkema.com,"
			Kynar® PVDF is a strong, high temperature polymer for handling corrosive chemicals. Kynar® pipe, tube, tanks, and tower packing resists acids, chlorides & can be used up to 150°C for chemical handling applications.		","Arkema, Inc."
